Country,NUTS code,RegionName,Infant mortality,Satisfaction with water quality,Uncollected sewage,"Sewage treatment, additional",Safety at night,Money Stolen,Assaulted/Mugged,Traffic deaths,Share of low-achieving 15 year olds in reading (level 1a or lower),Share of low-achieving 15 year olds in maths and science,Lower-secondary completion only,Early school leavers,Broadband at home,Digital skills above basic level,Online interaction with public authorities,Internet access,Freedom of media,Subjective health status,Standardised cancer death rate,Standardised heart disease death rate,Years of life lost due to air pollution,Index of positive emotions,Air pollution NO2,Air pollution Ozone (SOMO35),Air pollution pm2.5,Bathing water quality,Trust in the national government,Trust in the legal system,Trust in the police,Voiced opinion to public official,Female participation in regional assemblies,Institution quality index,Freedom over life choices,Job opportunities,Teenage pregnancy,"Young people not in education, employment or training (NEET)",Institutions corruption index (EQI),Institution impartiality index (EQI),Tolerance towards immigrants,Tolerance towards minorities,Tolerance towards  gay or lesbian people,Women treated with respect,Tertiary education attainment,Lifelong learning,Academic citations per 1000 persons ,gdp_per_capita_2022
AT,AT11,Burgenland,2.7,89.9158734809408,0.0,98.7,83.9831255302476,8.703269611820701,3.8555620278579,27,23.6232623988926,41.906202717696,13.4,9.6,90.7,33.5103746841006,69.19,89.5497449617877,77.7522769972022,70.8576356788675,73.33,32.86,402.8061392530136,76.8606802612409,9.740977208352547,5308.7842620668125,10.465163362097357,0.95,48.0083397752168,77.5608045923117,77.7813324242781,29.2424343851368,30.5555555555556,0.686,84.1537181631807,58.6562017755017,2.87269428485032,,0.6,1.367,67.7247262407689,73.5928329620926,72.5236047055891,81.7888127820275,31.4,12.0,0.162769038862043,34900.0
AT,AT12,Niederösterreich,3.4,89.9158734809408,0.0,99.653143464625,83.9831255302476,8.703269611820701,3.8555620278579,54,23.6232623988926,41.906202717696,13.1,7.333333333333333,90.7,33.5103746841006,74.22,89.5497449617877,77.7522769972022,70.8576356788675,68.79,29.9,358.8538219350774,76.8606802612409,10.542585704797128,4999.1010267294205,9.886506876246102,1.0,48.0083397752168,77.5608045923117,77.7813324242781,29.2424343851368,28.5714285714286,0.798,84.1537181631807,58.6562017755017,3.46527404948997,7.866666666666667,0.306,1.394,67.7247262407689,73.5928329620926,72.5236047055891,81.7888127820275,34.1,13.3,1.87067574527842,41900.0
AT,AT13,Wien,3.6,89.9158734809408,0.0,99.8,83.9831255302476,8.703269611820701,3.8555620278579,8,23.6232623988926,41.906202717696,16.3,10.9,92.49,33.5103746841006,79.89,89.5497449617877,77.7522769972022,70.8576356788675,75.35,34.75,440.2331001051311,76.8606802612409,20.8,4924.3,11.0,0.941176470588235,48.0083397752168,77.5608045923117,77.7813324242781,29.2424343851368,42.0,0.993,84.1537181631807,58.6562017755017,6.32495295957924,11.233333333333334,0.323,0.85,67.7247262407689,73.5928329620926,72.5236047055891,81.7888127820275,45.6,21.2,12.1436852209916,56600.0
AT,AT21,Kärnten,1.1,89.7168746047185,0.0,99.9405913814492,87.2614114792995,9.085657140159299,6.012397756810799,68,23.6232623988926,41.906202717696,10.3,7.2,89.48,32.7570860345017,67.73,93.1582882912623,83.3497586361277,70.9373008478907,68.07,27.91,343.8924100803146,78.9282078666724,12.935650123625864,5282.87599215241,9.636693944187897,1.0,41.9165607945103,78.184507782736,83.5426906706877,31.1147327219597,22.5,0.946,87.2597940957075,62.6792509212165,3.57448131167923,6.6000000000000005,0.409,1.158,73.3056427314778,79.0320619034211,67.7958476169798,83.701614312284,33.3,13.9,1.34973571390379,43600.0
AT,AT22,Steiermark,2.0,89.7168746047185,0.0,99.6776776845151,87.2614114792995,9.085657140159299,6.012397756810799,40,23.6232623988926,41.906202717696,13.3,7.2,89.63,32.7570860345017,69.82,93.1582882912623,83.3497586361277,70.9373008478907,66.52,28.8,424.7603443121329,78.9282078666724,13.514058014342456,5285.376137740827,10.783903291310272,1.0,41.9165607945103,78.184507782736,83.5426906706877,31.1147327219597,37.5,0.794,87.2597940957075,62.6792509212165,4.35314433731472,7.900000000000001,0.549,1.448,73.3056427314778,79.0320619034211,67.7958476169798,83.701614312284,32.2,15.2,6.78755514190666,44600.0
AT,AT31,Oberösterreich,2.5,86.770565089565,0.0,98.8147156089765,86.7091576744787,8.150969666764993,6.511474829700504,62,23.6232623988926,41.906202717696,14.7,7.133333333333333,91.05,33.2873134820349,70.92,93.7394960398909,82.5016259816126,74.8448123739505,59.91,30.9,376.21265501878736,76.727516674517,13.306959035361727,4684.480418620181,10.105369834815283,0.933333333333333,50.0114888272788,76.1221809065736,77.9795072127971,26.0421689341391,35.7142857142857,1.022,84.4888898722756,57.2990521574768,3.76367377883678,6.400000000000001,0.279,1.141,73.0333947656295,78.0175967333902,70.5056512646883,77.7194190000025,32.4,13.9,1.76153341116307,50700.0
AT,AT32,Salzburg,2.8,86.770565089565,0.0,97.7652726473852,86.7091576744787,8.150969666764993,6.511474829700504,43,23.6232623988926,41.906202717696,10.8,8.65,91.99,33.2873134820349,71.59,93.7394960398909,82.5016259816126,74.8448123739505,57.32,24.94,258.02443421364495,76.727516674517,12.787711788323001,4675.973366734827,8.411673226508464,1.0,50.0114888272788,76.1221809065736,77.9795072127971,26.0421689341391,47.2222222222222,1.282,84.4888898722756,57.2990521574768,2.78653662829068,7.566666666666667,0.72,1.198,73.0333947656295,78.0175967333902,70.5056512646883,77.7194190000025,33.2,14.1,4.00752585559528,58900.0
AT,AT33,Tirol,2.4,86.770565089565,0.0,99.4544924709295,86.7091576744787,8.150969666764993,6.511474829700504,38,23.6232623988926,41.906202717696,14.5,8.233333333333333,88.93,33.2873134820349,68.87,93.7394960398909,82.5016259816126,74.8448123739505,57.68,26.09,172.15666918527947,76.727516674517,15.548933515238046,5105.175233844065,7.1617607088461535,0.971428571428571,50.0114888272788,76.1221809065736,77.9795072127971,26.0421689341391,36.1111111111111,1.193,84.4888898722756,57.2990521574768,3.16139767054908,6.5,0.321,1.325,73.0333947656295,78.0175967333902,70.5056512646883,77.7194190000025,31.9,16.6,7.37586986899563,51200.0
AT,AT34,Vorarlberg,1.6,86.770565089565,0.0,99.8093424213017,86.7091576744787,8.150969666764993,6.511474829700504,33,23.6232623988926,41.906202717696,16.3,7.7,93.63,33.2873134820349,71.61,93.7394960398909,82.5016259816126,74.8448123739505,61.05,26.6,256.54208276857725,76.727516674517,14.956685413972716,5102.931792979719,8.40487481888856,1.0,50.0114888272788,76.1221809065736,77.9795072127971,26.0421689341391,44.4444444444444,1.093,84.4888898722756,57.2990521574768,3.8306837770542,7.800000000000001,0.548,1.005,73.0333947656295,78.0175967333902,70.5056512646883,77.7194190000025,29.9,14.2,0.446761460790504,58400.0
BE,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2.7,66.7089555444747,0.0,100.0,66.9370728296031,15.127968010543796,7.9657417059552955,7,21.2534622962723,38.2785984727161,22.1,8.733333333333334,92.53,26.4056359696641,74.02,93.4197782892571,84.4352380089086,79.1107481871157,67.06,28.5,458.971177313854,74.3356781711157,23.0,2709.2000000000003,11.4,,61.9821252517043,56.5561397039578,80.3344049699284,13.0641013449734,44.299674267101,0.05,89.8461898347655,44.4157689367445,5.27546310173251,10.033333333333333,-0.221,-0.201,77.040662931774,81.0758338874593,69.8323197154525,75.2946783356763,53.5,14.2,9.92269428360535,77800.0
