nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
AT11,AT,Burgenland,72.16,98.7,52.49,68.96,67.94,81.0,79.96,63.74,62.66,65.6,22.39,23.613595706618963
AT12,AT,Niederösterreich,64.95,99.65,52.49,68.96,69.44,83.17,84.07,63.28,64.09,65.6,28.09,29.87477638640429
AT13,AT,Wien,62.89,99.8,52.49,68.96,71.12,79.71,78.13,70.98,60.75,65.6,59.19,43.02325581395349
AT21,AT,Kärnten,88.66,99.94,36.8,68.96,71.52,85.88,84.71,59.18,67.7,70.3,27.26,31.3953488372093
AT22,AT,Steiermark,79.38,99.68,36.8,68.96,72.14,85.04,81.78,66.0,65.71,70.3,36.19,32.28980322003578
AT31,AT,Oberösterreich,74.23,98.81,37.02,68.96,72.85,84.84,80.0,68.15,65.37,70.49,27.29,37.74597495527728
AT32,AT,Salzburg,71.13,97.77,37.02,68.96,73.04,87.98,87.84,75.19,61.91,70.49,31.54,45.08050089445438
AT33,AT,Tirol,75.26,99.45,37.02,68.96,72.23,88.86,89.52,69.17,65.06,70.49,38.16,38.19320214669052
AT34,AT,Vorarlberg,83.51,99.81,37.02,68.96,73.05,86.82,87.85,72.88,62.59,70.49,23.77,44.63327370304115
BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,72.16,100.0,1.15,76.77,70.48,80.0,62.94,65.59,63.0,74.32,54.88,61.98568872987477
BE21,BE,Prov. Antwerpen,68.04,100.0,72.11,76.77,72.23,81.72,74.47,71.11,66.46,80.85,38.68,42.84436493738819
BE22,BE,Prov. Limburg (BE),74.23,100.0,72.11,76.77,72.21,82.55,70.38,71.11,66.85,80.85,30.65,26.923076923076923
BE23,BE,Prov. Oost-Vlaanderen,64.95,100.0,72.11,76.77,71.97,80.27,79.46,71.11,67.23,80.85,51.42,32.200357781753134
BE24,BE,Prov. Vlaams-Brabant,74.23,100.0,72.11,76.77,74.1,82.34,64.3,71.11,67.42,80.85,59.97,40.608228980322
BE25,BE,Prov. West-Vlaanderen,71.13,100.0,72.11,76.77,71.63,79.34,75.17,71.11,67.71,80.85,27.09,33.4525939177102
BE31,BE,Prov. Brabant Wallon,78.35,96.29,12.8,76.77,68.45,80.07,66.26,62.32,54.67,71.85,54.49,46.422182468694096
BE32,BE,Prov. Hainaut,60.82,96.44,12.8,76.77,63.1,71.76,47.63,62.32,48.74,71.85,18.92,18.51520572450805
BE33,BE,Prov. Liège,75.26,91.23,12.8,76.77,63.17,77.21,69.95,63.05,52.77,71.85,31.86,22.719141323792485
BE34,BE,Prov. Luxembourg (BE),80.41,67.45,12.8,76.77,64.84,77.19,61.17,62.32,53.99,71.85,27.48,17.88908765652952
BE35,BE,Prov. Namur,71.13,95.29,12.8,76.77,63.48,75.43,54.33,62.32,51.83,71.85,33.56,20.39355992844365
BG31,BG,Severozapaden,26.8,56.15,75.72,3.63,13.64,26.26,61.83,20.82,46.18,16.7,3.65,0.0
BG32,BG,Severen tsentralen,34.02,71.62,88.35,3.63,12.74,23.8,65.39,23.93,35.99,14.17,9.87,0.3577817531305903
BG33,BG,Severoiztochen,40.21,89.37,74.74,3.63,16.55,25.28,59.36,18.43,50.77,11.37,10.49,1.6100178890876566
BG34,BG,Yugoiztochen,1.03,83.29,61.08,3.63,10.0,22.39,74.19,24.78,43.35,9.84,6.8,3.041144901610018
BG41,BG,Yugozapaden,68.04,74.18,61.45,3.63,23.06,37.58,64.77,18.68,59.77,16.65,24.0,11.001788908765652
BG42,BG,Yuzhen tsentralen,47.42,40.11,79.83,3.63,12.19,26.23,62.59,18.55,47.65,44.94,7.36,0.7155635062611807
CY00,CY,Kýpros,72.16,83.36,56.13,16.57,52.82,74.77,70.06,32.14,51.16,39.37,39.35,19.58855098389982
CZ01,CZ,Praha,81.44,98.83,37.96,72.22,74.01,70.66,65.8,55.23,80.33,78.31,58.07,45.34883720930232
CZ02,CZ,Střední Čechy,84.54,93.44,36.72,72.22,64.1,67.48,77.92,44.47,68.68,55.74,14.29,12.701252236135955
CZ03,CZ,Jihozápad,81.44,97.72,52.03,72.22,62.89,71.52,71.58,41.02,67.09,50.5,14.83,11.180679785330948
CZ04,CZ,Severozápad,68.04,94.78,63.0,72.22,59.33,62.75,69.12,40.74,60.42,43.79,5.76,7.8711985688729875
CZ05,CZ,Severovýchod,78.35,91.7,63.24,72.22,63.34,67.43,69.68,42.89,67.69,61.4,15.34,10.912343470483004
CZ06,CZ,Jihovýchod,76.29,94.9,63.65,72.22,65.25,71.22,67.32,46.04,70.83,49.86,23.88,13.506261180679786
CZ07,CZ,Střední Morava,69.07,96.19,73.07,72.22,59.49,61.1,56.91,42.04,68.52,54.82,16.75,11.0912343470483
CZ08,CZ,Moravskoslezsko,76.29,93.15,47.61,72.22,66.23,58.02,42.82,41.02,69.84,45.85,18.1,10.554561717352415
DE11,DE,Stuttgart,69.07,99.4,49.81,73.12,51.35,79.98,76.09,68.42,64.02,71.55,26.26,43.64937388193202
DE12,DE,Karlsruhe,68.04,99.74,49.81,73.12,51.35,79.2,82.6,68.42,63.84,71.55,40.06,37.0304114490161
DE13,DE,Freiburg,63.92,95.7,49.81,73.12,51.35,81.2,86.42,68.42,64.42,71.55,28.54,31.216457960644007
DE14,DE,Tübingen,78.35,98.93,49.81,73.12,51.35,81.44,84.07,68.42,64.81,71.55,33.01,36.76207513416816
DE21,DE,Oberbayern,76.29,99.37,74.18,73.12,53.7,84.65,87.81,66.23,63.22,69.3,40.64,52.50447227191413
