nuts_code,country,region,basic_needs,foundations_wellbeing,opportunity,gdp_per_capita_2022
AT11,AT,Burgenland,73.24,74.34,51.59,23.613595706618963
AT12,AT,Niederösterreich,71.05,76.24,53.88,29.87477638640429
AT13,AT,Wien,70.37,74.41,64.05,43.02325581395349
AT21,AT,Kärnten,72.13,77.58,54.49,31.3953488372093
AT22,AT,Steiermark,69.22,76.84,58.64,32.28980322003578
AT31,AT,Oberösterreich,67.46,76.54,56.1,37.74597495527728
AT32,AT,Salzburg,66.18,79.22,58.34,45.08050089445438
AT33,AT,Tirol,67.96,79.62,59.89,38.19320214669052
AT34,AT,Vorarlberg,70.63,78.95,55.2,44.63327370304115
BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,42.54,72.4,64.26,61.98568872987477
BE21,BE,Prov. Antwerpen,79.45,76.26,63.19,42.84436493738819
BE22,BE,Prov. Limburg (BE),81.65,75.41,60.59,26.923076923076923
BE23,BE,Prov. Oost-Vlaanderen,78.33,77.08,67.22,32.200357781753134
BE24,BE,Prov. Vlaams-Brabant,81.65,74.23,69.64,40.608228980322
BE25,BE,Prov. West-Vlaanderen,80.55,75.7,59.51,33.4525939177102
BE31,BE,Prov. Brabant Wallon,54.97,72.78,60.63,46.422182468694096
BE32,BE,Prov. Hainaut,49.92,64.31,47.96,18.51520572450805
BE33,BE,Prov. Liège,52.83,71.66,53.75,22.719141323792485
BE34,BE,Prov. Luxembourg (BE),47.88,69.81,52.42,17.88908765652952
BE35,BE,Prov. Namur,52.67,67.18,53.89,20.39355992844365
BG31,BG,Severozapaden,50.75,21.59,18.83,0.0
BG32,BG,Severen tsentralen,62.38,21.25,19.8,0.3577817531305903
BG33,BG,Severoiztochen,66.37,21.87,20.32,1.6100178890876566
BG34,BG,Yugoiztochen,35.83,21.19,18.72,3.041144901610018
BG41,BG,Yugozapaden,67.79,27.26,27.65,11.001788908765652
BG42,BG,Yuzhen tsentralen,54.53,21.23,26.59,0.7155635062611807
CY00,CY,Kýpros,70.1,50.25,40.23,19.58855098389982
CZ01,CZ,Praha,70.15,70.64,67.5,45.34883720930232
CZ02,CZ,Střední Čechy,69.0,70.33,42.91,12.701252236135955
CZ03,CZ,Jihozápad,75.82,69.5,40.81,11.180679785330948
CZ04,CZ,Severozápad,74.66,65.76,33.56,7.8711985688729875
CZ05,CZ,Severovýchod,77.32,68.13,43.99,10.912343470483004
CZ06,CZ,Jihovýchod,77.76,68.97,46.07,13.506261180679786
CZ07,CZ,Střední Morava,79.01,62.3,43.09,11.0912343470483
CZ08,CZ,Moravskoslezsko,71.04,59.28,41.56,10.554561717352415
DE11,DE,Stuttgart,71.34,69.65,55.71,43.64937388193202
DE12,DE,Karlsruhe,71.08,71.0,60.26,37.0304114490161
DE13,DE,Freiburg,68.53,72.35,56.62,31.216457960644007
DE14,DE,Tübingen,74.28,71.87,58.24,36.76207513416816
