nuts_code,country,region,spi,gdp_per_capita_2022,basic_needs,foundations_wellbeing,opportunity,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,cluster_spi_gdp
AT11,AT,Burgenland,65.95,23.61,73.24,74.34,51.59,72.16,98.7,52.49,68.96,67.94,81.0,79.96,63.74,62.66,65.6,22.39,stable
AT12,AT,Niederösterreich,66.7,29.87,71.05,76.24,53.88,64.95,99.65,52.49,68.96,69.44,83.17,84.07,63.28,64.09,65.6,28.09,stable
AT13,AT,Wien,69.54,43.02,70.37,74.41,64.05,62.89,99.8,52.49,68.96,71.12,79.71,78.13,70.98,60.75,65.6,59.19,prosperous
AT21,AT,Kärnten,67.69,31.4,72.13,77.58,54.49,88.66,99.94,36.8,68.96,71.52,85.88,84.71,59.18,67.7,70.3,27.26,prosperous
AT22,AT,Steiermark,68.03,32.29,69.22,76.84,58.64,79.38,99.68,36.8,68.96,72.14,85.04,81.78,66.0,65.71,70.3,36.19,prosperous
AT31,AT,Oberösterreich,66.43,37.75,67.46,76.54,56.1,74.23,98.81,37.02,68.96,72.85,84.84,80.0,68.15,65.37,70.49,27.29,prosperous
AT32,AT,Salzburg,67.64,45.08,66.18,79.22,58.34,71.13,97.77,37.02,68.96,73.04,87.98,87.84,75.19,61.91,70.49,31.54,prosperous
AT33,AT,Tirol,68.92,38.19,67.96,79.62,59.89,75.26,99.45,37.02,68.96,72.23,88.86,89.52,69.17,65.06,70.49,38.16,prosperous
AT34,AT,Vorarlberg,67.89,44.63,70.63,78.95,55.2,83.51,99.81,37.02,68.96,73.05,86.82,87.85,72.88,62.59,70.49,23.77,prosperous
BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,59.02,61.99,42.54,72.4,64.26,72.16,100.0,1.15,76.77,70.48,80.0,62.94,65.59,63.0,74.32,54.88,affluent
BE21,BE,Prov. Antwerpen,72.79,42.84,79.45,76.26,63.19,68.04,100.0,72.11,76.77,72.23,81.72,74.47,71.11,66.46,80.85,38.68,prosperous
BE22,BE,Prov. Limburg (BE),72.27,26.92,81.65,75.41,60.59,74.23,100.0,72.11,76.77,72.21,82.55,70.38,71.11,66.85,80.85,30.65,stable
BE23,BE,Prov. Oost-Vlaanderen,74.12,32.2,78.33,77.08,67.22,64.95,100.0,72.11,76.77,71.97,80.27,79.46,71.11,67.23,80.85,51.42,prosperous
BE24,BE,Prov. Vlaams-Brabant,75.09,40.61,81.65,74.23,69.64,74.23,100.0,72.11,76.77,74.1,82.34,64.3,71.11,67.42,80.85,59.97,prosperous
